SSBSECT_SUBJ_CODE,SSBSECT_CRSE_NUMB,SSBSECT_TERM_CODE,SSBSECT_CRN,SSRATTR_TERM_CODE,SSRATTR_CRN,SSRATTR_ATTR_CODE,SSRATTR_ACTIVITY_DATE
BIO,336,202110,10182,202110,10182,RMOT,2020/11/08
BIO,493G,202110,10184,202110,10184,ADVS,2020/02/13
BIO,493G,202110,10184,202110,10184,FREE,2020/02/13
BIO,493G,202110,10184,202110,10184,W,2020/02/13
BOT,114,202110,10288,202110,10288,CC,2020/02/18
BOT,114,202110,10288,202110,10288,MOID,2020/02/18
BOT,114,202110,10288,202110,10288,RMOT,2020/11/08
BOT,114L,202110,10297,202110,10297,100L,2020/02/18
BOT,114L,202110,10301,202110,10301,100L,2020/02/18
BOT,117,202110,10302,202110,10302,A3,2020/02/18
BOT,117,202110,10302,202110,10302,CC,2020/02/18
BOT,117,202110,10302,202110,10302,MOIE,2020/02/18
BOT,117,202110,10302,202110,10302,RMOT,2020/11/08
BOT,207,202110,10307,202110,10307,RMOT,2020/11/08
BOT,230,202110,10309,202110,10309,A1,2020/02/18
BOT,230,202110,10309,202110,10309,MOID,2020/02/18
BOT,234,202110,10310,202110,10310,A3,2020/02/18
BOT,234,202110,10310,202110,10310,MOIB,2020/02/18
BOT,234,202110,10310,202110,10310,MOIE,2020/02/18
BOT,234,202110,10310,202110,10310,RMOT,2020/11/08
BOT,234,202110,10310,202110,10310,W,2020/02/18
BOT,493N,202110,10313,202110,10313,ADVS,2020/02/18
BOT,493N,202110,10313,202110,10313,FREE,2020/02/18
BOT,493N,202110,10313,202110,10313,RMOT,2020/11/08
BOT,493N,202110,10313,202110,10313,W,2020/02/18
CA,201,202110,10514,202110,10514,RMOT,2020/10/29
CA,302,202110,10513,202110,10513,MOD1,2020/10/29
CA,302,202110,10513,202110,10513,RMOT,2020/10/29
CA,402,202110,10512,202110,10512,MOD2,2020/10/29
CA,402,202110,10512,202110,10512,RMOT,2020/10/29
CHI,102,202110,10074,202110,10074,ACHI,2020/01/31
CHI,102,202110,10074,202110,10074,ECHI,2020/01/31
CHI,102,202110,10074,202110,10074,WLC,2020/01/31
CHI,202,202110,10075,202110,10075,ACHI,2020/01/31
CHI,202,202110,10075,202110,10075,INFL,2020/01/31
CHI,202,202110,10075,202110,10075,WLC,2020/01/31
CHI,302,202110,10076,202110,10076,ACHI,2020/01/31
CHI,302,202110,10076,202110,10076,INFL,2020/01/31
CHI,302,202110,10076,202110,10076,RMOT,2020/11/02
CHI,302,202110,10076,202110,10076,WLC,2020/01/31
CHI,412,202110,10077,202110,10077,MOIB,2020/01/31
CHI,412,202110,10077,202110,10077,MOIE,2020/01/31
CHI,412,202110,10077,202110,10077,W,2020/01/31
CHI,412,202110,10077,202110,10077,WLC,2020/01/31
CHI,414,202110,10537,202110,10537,MOIB,2020/03/16
CHI,414,202110,10537,202110,10537,MOIE,2020/03/16
CHI,414,202110,10537,202110,10537,W,2020/03/16
CHI,414,202110,10537,202110,10537,WLC,2020/03/16
CHI,416,202110,10582,202110,10582,RMOT,2020/11/02
CHI,416,202110,10582,202110,10582,WLC,2020/03/30
CHM,100,202110,10187,202110,10187,A1,2020/02/14
CHM,100,202110,10187,202110,10187,CC,2020/02/14
CHM,100,202110,10187,202110,10187,MOID,2020/02/14
CHM,104L,202110,10190,202110,10190,100L,2020/02/14
CHM,104L,202110,10190,202110,10190,RMOT,2020/10/29
CHM,104L,202110,10196,202110,10196,100L,2020/02/14
CHM,104L,202110,10197,202110,10197,100L,2020/02/14
CHM,104L,202110,10197,202110,10197,RMOT,2020/10/29
CHM,104L,202110,10198,202110,10198,100L,2020/02/14
CHM,104L,202110,10199,202110,10199,100L,2020/02/14
CHM,104L,202110,10199,202110,10199,RMOT,2020/10/29
CHM,104L,202110,10200,202110,10200,100L,2020/02/14
CHM,224,202110,10210,202110,10210,RMOT,2020/10/29
CHM,224L,202110,10214,202110,10214,RMOT,2020/10/29
CHM,304,202110,10218,202110,10218,RMOT,2020/10/29
CHM,304,202110,10218,202110,10218,W,2020/02/14
CLA,104,202110,10041,202110,10041,A6,2020/01/17
CLA,104,202110,10041,202110,10041,CC,2020/01/17
CLA,104,202110,10041,202110,10041,MOIB,2020/01/17
CLA,300,202110,10042,202110,10042,RMOT,2020/10/29
COM,110,202110,10185,202110,10185,A2,2020/02/14
COM,110,202110,10185,202110,10185,CC,2020/02/14
COM,110,202110,10185,202110,10185,MOIC,2020/02/14
COM,110,202110,10185,202110,10185,RMOT,2020/10/30
COM,110L,202110,10186,202110,10186,100L,2020/02/14
COM,110L,202110,10186,202110,10186,RMOT,2020/10/30
COM,110L,202110,10188,202110,10188,100L,2020/02/14
COM,110L,202110,10188,202110,10188,RMOT,2020/10/30
COM,203,202110,10165,202110,10165,MOIC,2020/11/04
COM,203,202110,10165,202110,10165,RMOT,2020/10/30
COM,212,202110,10192,202110,10192,MOIC,2020/02/14
COM,212,202110,10192,202110,10192,RMOT,2020/10/30
COM,212,202110,10193,202110,10193,MOIC,2020/02/14
COM,212,202110,10193,202110,10193,RMOT,2020/10/30
COM,214,202110,10194,202110,10194,A2,2020/02/14
COM,214,202110,10194,202110,10194,MOIC,2020/02/14
COM,214,202110,10194,202110,10194,RMOT,2020/10/30
COM,217,202110,10662,202110,10662,MOIA,2020/10/30
COM,217,202110,10662,202110,10662,MOIC,2020/10/30
COM,217,202110,10662,202110,10662,RMOT,2020/10/30
COM,219,202110,10202,202110,10202,MOIC,2020/02/14
COM,219,202110,10202,202110,10202,RMOT,2020/10/30
COM,307,202110,10195,202110,10195,RMOT,2020/10/30
COM,312,202110,10217,202110,10217,RMOT,2020/10/30
COM,316,202110,10664,202110,10664,RMOT,2020/10/30
COM,496,202110,10223,202110,10223,RMOT,2020/10/30
COM,496,202110,10224,202110,10224,RMOT,2020/10/30
