Dept,#,Sec,Term Part,CRN,TITLE,Approval Required,Cross Listed,Max Enroll,Actual Enroll,Faculty,Credits,Days1,Time1,Loc1,Days2,Time2,Loc2,Days3,Time3,Loc3,Notes
AST,110,1,1,10102,BEYOND THE SOLAR SYSTEM,,,38,0,Leslie Brown,4,T R,1015-1130,,,-,,,-,,.
AST,110,2,1,10665,BEYOND THE SOLAR SYSTEM,,,38,0,Leslie Brown,4,M W,1900-2200,,,-,,,-,,.
AST,201,1,1,10103,INTRO TO ASTROPHYSICS,,,28,0,Michael Weinstein,4,,-,REMOTE,,-,,,-,,.
BIO,120C,1,1,10158,INTRO TO BIOLOGICAL INQUIRY,,,18,0,E. Carla Parker-Athill,4,T F,1015-1130,REMOTE,M,1345-1645,,,-,,.
BIO,120D,1,1,10159,INTRO TO BIOLOGICAL INQUIRY,,,18,0,Stephen Douglass,4,M,1015-1315,REMOTE,R,1015-1130,REMOTE,,-,,.
BIO,120G,1,1,10160,INTRO TO BIOLOGICAL INQUIRY,,,18,0,Phillip Barnes,4,T,0830-0945,,F,0830-1130,,,-,,.
BIO,120H,1,1,10774,INTRO TO BIOLOGICAL INQUIRY,,,18,0,Maria Rosa,4,M R,1345-1645,REMOTE,,-,,,-,,.
BIO,202,1,1,10161,HUMAN PHYSIOLOGY,,,36,0,. To Be Assigned,4,M W,1715-1830,REMOTE,,-,,,-,,.
BIO,202L,1,1,10162,HUMAN PHYSIOLOGY LAB,,,18,0,. To Be Assigned,0,T,1715-2015,REMOTE,,-,,,-,,.
BIO,202L,2,1,10163,HUMAN PHYSIOLOGY LAB,,,18,0,. To Be Assigned,0,R,1715-2015,REMOTE,,-,,,-,,.
BIO,203,1,1,10164,BIOINFORMATICS,,Y,18,0,Stephen Douglass,4,M R,1345-1500,REMOTE,,-,,,-,,.
BIO,209,1,1,10166,CELLS AND MOLECULES,,,32,0,Deborah Eastman,4,T F,1015-1130,,,-,,,-,,.
BIO,209L,1,1,10167,CELLS AND MOLECULES LAB,,,16,0,Deborah Eastman,0,M,1900-2200,OLIN 311,M,1900-2200,OLIN 313,,-,,.
BIO,209L,2,1,10168,CELLS AND MOLECULES LAB,,,16,0,Deborah Eastman,0,T,1200-1500,OLIN 311,T,1200-1500,OLIN 313,,-,,.
BIO,210,1,1,10169,ECOLOGY AND EVOLUTION,,,32,0,Taegan McMahon,4,M R,0830-0945,,,-,,,-,,.
BIO,210L,1,1,10170,ECOLOGY AND EVOLUTION LAB,,,16,0,Taegan McMahon,0,M,1015-1315,OLIN 311,M,1015-1315,OLIN 313,,-,,.
BIO,210L,2,1,10171,ECOLOGY AND EVOLUTION LAB,,,16,0,Taegan McMahon,0,R,1345-1645,OLIN 311,R,1345-1645,OLIN 313,,-,,.
BIO,214,1,1,10172,BIOPSYCHOLOGY,,Y,38,0,Ruth Grahn,4,M W,1715-1830,REMOTE,,-,,,-,,.
BIO,215,1,1,10466,INVERTEBRATE BIOLOGY,,,16,0,Niels-Viggo Hobbs,4,M W,1715-1830,,,-,,,-,,.
BIO,215L,1,1,10467,INVERTEBRATE BIOLOGY LAB,,,16,0,Niels-Viggo Hobbs,0,T,1345-1635,,,-,,,-,,.
BIO,235,1,2,10769,BIOLOGICAL STATISTICS,,Y,16,0,Yan Zhuang Maria Rosa,4,T R,1715-2015,REMOTE,,-,,,-,,.
BIO,301,1,1,10841,GENETICS,,,28,0,Kris Hardeman,4,T F,0830-0945,,,-,,,-,,.
BIO,301L,1,1,10842,GENETICS LAB,,,14,0,Kris Hardeman,0,W,1345-1645,OLIN 313,W,1345-1645,OLIN 311,,-,,.
BIO,301L,2,1,10843,GENETICS LAB,,,14,0,Kris Hardeman,0,F,1345-1645,OLIN 313,F,1345-1645,OLIN 311,,-,,.
BIO,309,1,1,10468,MOLECULAR CELL BIOLOGY,,,24,0,. To Be Assigned,4,T F,0830-0945,,,-,,,-,,.
BIO,309L,1,1,10469,MOLECULAR CELL BIOL LAB,,,12,0,. To Be Assigned,0,T,1345-1645,,,-,,,-,,.
BIO,316,1,1,10176,NEUROPHYSIOLOGY,,Y,18,0,E. Carla Parker-Athill,4,M R,1015-1130,,,-,,,-,,.
BIO,316L,1,1,10578,NEUROPHYSIOLOGY LAB,,Y,18,0,E. Carla Parker-Athill,0,R,1345-1645,,,-,,,-,,.
BIO,322,1,1,10177,PSYCHOPHARMACOLOGY,,Y,16,0,Ruth Grahn,4,R,1345-1645,,T F,1530-1645,REMOTE,,-,,.
BIO,330,1,1,10178,MICROBIOLOGY,,,18,0,Sardha Suriyapperuma,4,M R,1015-1130,REMOTE,,-,,,-,,.
BIO,330L,1,1,10180,MICROBIOLOGY LAB,,,9,0,Sardha Suriyapperuma,0,T F,1015-1130,NLH 201,,-,,,-,,.
